date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:33	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1677806450-ssl-df	https://melancholiannaios.netlify.app/robots.txt		(from )
14:10:34	6904/6904	---MCZ	200	added ('OK')	text/html	etag:%223e2a32e12dbc2c0512ddcdbcdc7a22fb-ssl-df%22	https://melancholiannaios.netlify.app/	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/melancholiannaios.netlify.app/index.html	(from )
14:10:34	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1677806450-ssl-df	https://melancholiannaios.netlify.app/favicon.ico	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/melancholiannaios.netlify.app/favicon.0.delayed	(from https://melancholiannaios.netlify.app/)
14:10:34	397765/397765	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-611c5%22	https://me-qr.com/assets/css/material-kit.min.css?v=1	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/me-qr.com/assets/css/material-kit.min3860.css	(from https://melancholiannaios.netlify.app/)
14:10:35	144/144	---MCZ	200	added ('OK')	text/css	etag:W/%22646b779e-700%22	https://me-qr.com/assets/css/base-style.css	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/me-qr.com/assets/css/base-style.css	(from https://melancholiannaios.netlify.app/)
14:10:35	49158/49158	---M--	200	added ('OK')	image/png	etag:%228ecd0322180b0e77188248a9ed661405%22	https://i.imgur.com/2cO5SI2.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/i.imgur.com/2cO5SI2.png	(from https://melancholiannaios.netlify.app/)
14:10:36	13922/13922	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-3662%22	https://cdn.me-qr.com/ListofLinks/48442.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/cdn.me-qr.com/ListofLinks/48442.png	(from https://melancholiannaios.netlify.app/)
14:10:36	6355/6355	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-18d3%22	https://cdn.me-qr.com/ListofLinks/48444.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/cdn.me-qr.com/ListofLinks/48444.png	(from https://melancholiannaios.netlify.app/)
14:10:36	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1677806450-ssl-df	https://melancholiannaios.netlify.app/assets/js/lazy.js?v=2	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/melancholiannaios.netlify.app/assets/js/lazy.65e1f.delayed	(from https://melancholiannaios.netlify.app/)
14:10:37	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:10:36%20GMT	https://me-qr.com/img/arrow-left.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/me-qr.com/img/arrow-left.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
14:10:37	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:10:36%20GMT	https://me-qr.com/img/arrow-right.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/ddd/me-qr.com/img/arrow-right.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
